"animal","study_year","has_hr","has_speed","has_diffusion","prop_finite_hr","prop_finite_speed","prop_finite_diffusion"
"85","2",TRUE,TRUE,TRUE,1,0.63,1
"87","2",TRUE,TRUE,TRUE,1,0.53,1
"88","2",TRUE,TRUE,TRUE,1,0.15,1
"89","2",TRUE,TRUE,TRUE,1,0.7,1
"90","2",TRUE,TRUE,TRUE,1,0.8,1
"91","2",TRUE,TRUE,TRUE,1,0.57,0.65
"92","2",TRUE,TRUE,TRUE,1,0.32,1
"93","2",TRUE,TRUE,TRUE,1,0.74,1
"94","2",TRUE,TRUE,TRUE,1,0.67,1
"95","2",TRUE,TRUE,TRUE,1,0.97,1
"96","2",TRUE,TRUE,TRUE,1,0.88,1
"97","2",TRUE,TRUE,TRUE,1,0.79,1
"98","2",TRUE,TRUE,TRUE,1,0.77,1
"99","2",TRUE,TRUE,TRUE,1,0.88,1
